refresh_period,number_sensors,m,b
3,125,2.3398284362540496,0.01305841141141141
3,175,2.506473956103563,0.018581703303303304
3,175,2.45976995498026,0.01593303423423424
3,125,2.472391312629087,0.012972588888888888
3,50,2.5435678205464063,0.01474373663663664
3,75,2.5287836762728277,0.012939299399399402
3,100,2.4138957039440423,0.016083977177177175
3,50,2.521993145475531,0.012946215915915918
3,125,2.4309593499553372,0.014843691291291292
3,175,2.4959327227946058,0.014966642942942943
3,50,2.533872946057901,0.015472118918918918
3,150,2.4986807149052845,0.016181015315315316
3,50,2.5341346596847982,0.0129160978978979
3,150,2.3348223998331665,0.013026712312312312
3,25,2.362332387539559,0.01794675615615616
3,125,2.5015276879660675,0.012983413813813814
3,175,2.5131002004094625,0.013032897897897897
3,75,2.515414194565118,0.015906423723723723
3,75,2.524248969006604,0.0167309012012012
3,50,2.5139988583089856,0.01627509009009009
3,200,2.3953618169723647,0.014797492492492492
3,75,2.5188568009349885,0.014720456756756758
3,50,2.517215474232361,0.015752495795795796
3,75,2.52303785016482,0.019137259759759762
3,175,2.4957099372286886,0.01799016246246246
3,50,2.496858145108743,0.02688170990990991
3,125,2.5067687462056085,0.01637844804804805
3,75,2.5210333551682202,0.016898527027027026
3,75,2.5179262700704035,0.012966335135135133
3,175,2.4838225445622473,0.015900803303303304
3,150,2.397004405767845,0.012971043243243245
3,125,2.4325248598245115,0.013259830030030029
3,200,2.3857555286367935,0.016113551651651653
3,75,2.5344707111231712,0.019294468168168166
3,175,2.492474801866744,0.023170372672672673
3,200,2.4058333963828122,0.01611874774774775
3,75,2.507839887100216,0.0221257009009009
3,100,2.5213968351964837,0.021316188588588587
3,100,2.328785429138465,0.012943120420420421
3,25,2.4484214589387405,0.01876246126126126
3,125,2.499581688064662,0.013365090090090091
3,50,2.5138709550487692,0.019043522822822827
3,100,2.481246086546066,0.013013576576576574
3,100,2.3566827956631693,0.014951488588588588
3,200,2.511494618519082,0.015852176876876876
3,175,2.4858555577336228,0.01655759009009009
3,200,2.39585385067877,0.013001970570570572
3,100,2.5323763831050377,0.017391476276276276
3,100,2.407396299118895,0.013196814714714714
3,175,2.45394229712074,0.013389812012012014
3,75,2.5356218310829832,0.012928463063063065
3,100,2.5277559619435923,0.015062605705705705
3,100,2.492259767456925,0.01301586096096096
3,100,2.51985016085387,0.01293692972972973
3,25,2.5199301672681393,0.016261931231231232
3,50,2.5369615301024377,0.016601970870870873
3,175,2.4736591778193775,0.014694315615615615
3,75,2.518116511765517,0.01589567057057057
3,100,2.5078511388980114,0.018360086786786786
3,150,2.4860393786981043,0.017383047747747748
3,125,2.4539785450070775,0.015934047447447447
3,125,2.500620687076668,0.017927693393393392
3,125,2.3490326636393575,0.012964788888888891
3,25,2.5282331240994953,0.03303230120120121
3,100,2.5269315942285706,0.015842313813813815
3,200,2.3892153520484616,0.014668136036036037
3,25,2.519607577628419,0.02696505465465466
3,75,2.5266788790640247,0.016157755255255257
3,200,2.473836873504746,0.013102485585585584
3,75,2.5395181149660657,0.014725114714714715
3,200,2.378662202429305,0.013066144444444445
3,25,2.4572077351537533,0.015449760660660658
3,75,2.5081122611843045,0.012953954354354355
3,150,2.3242218804320656,0.01316898048048048
3,125,2.34688317577752,0.01299574084084084
3,175,2.4927072974268376,0.011458111111111112
3,150,2.4132611234134265,0.012964857057057057
3,25,2.4960923443224137,0.01869635705705706
3,75,2.511424863607434,0.016713363063063064
3,200,2.39594910945978,0.016433443543543542
3,25,2.31426495531103,0.018741890390390394
3,150,2.500414802404862,0.012960955855855856
3,150,2.507944020966785,0.015956056156156157
3,150,2.338990453812877,0.013043723123123125
3,75,2.5271117415065794,0.015547667567567569
3,150,2.4712981969116665,0.01731423903903904
3,100,2.355543383099946,0.014832912012012015
3,150,2.4809109262622693,0.012912281081081082
3,100,2.5253272591035536,0.016636954054054052
3,175,2.4738956442567854,0.03050187987987988
3,50,2.5240718489772336,0.020448312012012013
3,125,2.4922253900805207,0.012978775075075074
3,50,2.4911897055774586,0.026178203303303303
3,50,2.552051563160628,0.015901826126126124
3,200,2.528354407500761,0.013037537537537537
3,25,2.5053016024216133,0.01722488078078078
3,150,2.3520085876643755,0.013111563363363363
3,200,2.5078482705259844,0.012885992192192193
3,100,2.5427980328990936,0.015289721621621621
3,150,2.303423940370209,0.012994239639639641
3,25,2.5181991702080952,0.01600217027027027
3,50,2.5243698810245068,0.018387187087087087
3,25,2.5389546282553592,0.03324214324324325
3,175,2.4803783764193,0.01588391951951952
3,150,2.340975320360039,0.012954032732732731
3,25,2.515585289578359,0.01919324504504505
3,150,2.4785308211867494,0.01665632912912913
3,200,2.384993032816319,0.016040471771771772
3,175,2.5139928200292614,0.012909187987987989
3,50,2.519409082799732,0.015008352852852852
3,125,2.5033881772776194,0.01593303423423424
3,125,2.3278269346460556,0.02044393933933934
3,50,2.4945210450483355,0.012949312012012012
3,125,2.3333450882838083,0.013011218018018019
3,50,2.5307541336022528,0.01614355765765766
3,175,2.5036465212929886,0.02515762972972973
3,200,2.5165218889844505,0.014196906306306307
3,125,2.5037153149842335,0.012975682582582583
3,150,2.4823807844671606,0.01589926876876877
3,25,2.5171331214366877,0.01632393213213213
3,175,2.481741772626971,0.016020715315315313
3,125,2.4582088263176187,0.012977168768768768
3,100,2.311939780523908,0.014834451951951952
3,100,2.511020961975881,0.015602708408408408
3,25,2.295946484064811,0.017515273873873877
3,150,2.3275225083339706,0.01298045915915916
3,25,2.5291625177152444,0.023349303603603603
3,100,2.540638540085571,0.01586652972972973
3,125,2.4881885026434114,0.024779300600600598
3,50,2.5366269547178173,0.026407423123123122
3,25,2.5425285471626857,0.018378674474474475
3,125,2.4798853319025396,0.017484873573573572
3,200,2.3712208946198983,0.013082382582582583
3,150,2.4593318871804777,0.012971043243243245
3,175,2.494467235527279,0.012910734234234235
3,50,2.5341636179726126,0.014960571771771772
3,150,2.491740052839016,0.01301898138138138
3,200,2.3790696600905035,0.013070011111111111
3,150,2.492563647761556,0.015934569369369368
3,200,2.5126937145973054,0.015877236936936937
3,50,2.5134195737043967,0.01886836366366366
3,50,2.538702268897989,0.016594004504504507
3,100,2.540574663156974,0.018923819819819818
3,100,2.517987863929013,0.01589206936936937
3,175,2.51188819256619,0.015891593993993997
3,200,2.3715358631979013,0.013260024324324327
3,175,2.47602446021497,0.01847184084084084
3,50,2.5190932174505605,0.015932540840840843
3,200,2.37036004232196,0.016083447747747746
3,100,2.5303298836323727,0.012940024324324324
3,25,2.5072535942992777,0.0160031978978979
3,150,2.5108493473779574,0.015933033333333332
3,75,2.5407699247014026,0.014926015315315316
3,175,2.4720143557670413,0.015391396996996999
3,200,2.3768763301612883,0.013470157057057057
3,25,2.508597794735116,0.01869284954954955
3,25,2.5247748935643513,0.01873299069069069
3,200,2.533798571188732,0.015208087687687687
3,125,2.5032728080026705,0.02429873423423423
3,100,2.450484275965458,0.01596326006006006
3,25,2.3780563090347204,0.016503986186186186
3,75,2.5156328390294744,0.015514971771771774
3,200,2.36819542625866,0.013042175975975978
3,75,2.5154601626402275,0.015955578078078077
3,200,2.4026471087546923,0.013022073873873875
3,125,2.4776480269295478,0.01295085975975976
3,125,2.3155223930859075,0.013196815615615615
3,150,2.4009570201604356,0.012915372672672672
3,25,2.50258343640484,0.017861103603603604
3,25,2.4893433601229367,0.02018792012012012
3,50,2.5097177724936888,0.017872777177177175
3,25,2.4847894889593456,0.018598461261261263
3,175,2.498142753139554,0.016070653453453453
3,200,2.402427648117961,0.017510306006006005
3,150,2.50018153998753,0.02761787687687688
3,25,2.3300042308138806,0.016299857957957957
3,100,2.520346001408909,0.015112245945945946
3,175,2.490333499368668,0.01589466306306306
3,125,2.48749996560334,0.012926197597597599
3,150,2.490873139643191,0.012926197897897897
3,175,2.414159395652049,0.01292929099099099
3,200,2.406202462344054,0.013619685285285284
3,175,2.50559557286619,0.012960218318318319
3,75,2.541337276062355,0.01588030960960961
3,125,2.317630857117547,0.013961484684684684
3,100,2.4079621610582693,0.01595812792792793
3,200,2.3839654858536687,0.018066964264264265
3,50,2.5126801325178283,0.012941572072072072
3,100,2.5195292178615865,0.012998836636636635
3,25,2.355112072222143,0.018578358858858862
3,175,2.5036809316225748,0.01727394924924925
3,75,2.5293378333392513,0.012953954354354355
3,150,2.4693648806567965,0.012957187387387388
3,75,2.501482370670759,0.01589720720720721
3,75,2.520922567876554,0.01972268288288288
3,125,2.4899203880143514,0.012912280180180181
3,75,2.5226864206823296,0.024871122222222226
3,50,2.5030695823526092,0.013074671771771773
3,75,2.5356848193620936,0.01700089249249249
3,50,2.5151745070785987,0.015887990090090093
