refresh_period,number_sensors,m,b
1,125,2.7150672334050006,0.01602792732732733
1,175,2.7262576200982984,0.01879931051051051
1,175,2.6963137260832446,0.01394897837837838
1,125,2.7155092287270124,0.01801411171171171
1,75,2.7083515256997375,0.01656397807807808
1,50,2.7226348295714176,0.016978484684684686
1,100,2.684746156911661,0.02788457657657658
1,50,2.6964879531545023,0.015950626426426424
1,125,2.7121318863379202,0.02131093033033033
1,25,2.6917544578408203,0.02013746126126126
1,175,2.6767983138643157,0.01799096096096096
1,50,2.7024322209216662,0.016488202702702702
1,150,2.695455701687936,0.023371616516516515
1,50,2.7170071150020263,0.016371991891891893
1,150,2.6994977845575123,0.03251241801801802
1,25,2.722334157903287,0.01689242942942943
1,125,2.7362866280735787,0.016138012012012013
1,125,2.710625761528801,0.016127593993993994
1,175,2.6248755630768708,0.01926680540540541
1,50,2.7162048778708505,0.015741633033033036
1,125,2.7652396356624696,0.016018682282282284
1,200,2.6955177790094673,0.019976239939939938
1,75,2.6750558656384937,0.026895855255255254
1,50,2.701895328736277,0.02585602912912913
1,75,2.717269305439242,0.016058746246246248
1,175,2.746314950492927,0.016400322522522524
1,175,2.730155803596205,0.015841053453453453
1,50,2.6929635132564655,0.018753721621621623
1,125,2.742437718758099,0.0250169015015015
1,75,2.7043600557681926,0.015569286786786787
1,75,2.7155967406669133,0.013137502402402404
1,175,2.7030664534523328,0.02272146126126126
1,150,2.7137825067065116,0.014491928528528528
1,150,2.681947663053671,0.013052905705705706
1,125,2.740381594412079,0.019966535735735737
1,200,2.7367414095692206,0.01599658948948949
1,75,2.7520892508125363,0.01605402822822823
1,125,2.733721899555775,0.016064953753753754
1,175,2.5903267429331063,0.019399184384384385
1,200,2.7069895815472904,0.033293231231231235
1,75,2.742698242619869,0.016017136636636637
1,100,2.690458698741445,0.01493321771771772
1,100,2.6942757175553407,0.01603255045045045
1,25,2.699911572881744,0.0192810996996997
1,125,2.7011435999582227,0.015998345345345343
1,50,2.6773046881464175,0.013984618918918919
1,100,2.6729299890914335,0.016047449849849852
1,100,2.658611782032585,0.01783931051051051
1,200,2.7168738451218974,0.01499664054054054
1,175,2.7185600540545876,0.021076622222222223
1,200,2.6971165302241764,0.013375236036036037
1,100,2.6871354180676597,0.016089622222222225
1,100,2.7125547791653917,0.01602020780780781
1,175,2.699967280626388,0.02114406876876877
1,75,2.734628499844388,0.018440940540540542
1,100,2.6756794428396184,0.014999966966966968
1,100,2.6977612297416416,0.013602528228228227
1,100,2.700803168377308,0.016075192492492493
1,25,2.696449984757901,0.027669247447447448
1,50,2.6780919247140202,0.013119621321321322
1,175,2.7420730144211727,0.02078487927927928
1,75,2.707354989328769,0.013072954054054054
1,200,2.6929813458298755,0.013047514114114112
1,100,2.720155309010371,0.016017122822822825
1,150,2.731987716079116,0.01695566846846847
1,125,2.740380047078185,0.02074677327327327
1,125,2.700107788997737,0.025419816216216216
1,125,2.7080945170988744,0.017970352852852853
1,25,2.709331355981745,0.026203603903903906
1,100,2.714823924469244,0.016139024024024024
1,200,2.731678324989088,0.02152535975975976
1,25,2.6619187922940184,0.018525202402402404
1,75,2.7250720751572235,0.017019753153153152
1,200,2.7202688380714743,0.016081356756756756
1,75,2.7130508281814003,0.01600065885885886
1,100,2.7378339282178596,0.015978093993993994
1,200,2.6749515001149855,0.02150241951951952
1,25,2.7152009389116456,0.03161514774774775
1,75,2.6783360998807915,0.013127371171171173
1,150,2.6855568556000553,0.018225301501501503
1,125,2.7256848991494254,0.014947269369369371
1,175,2.6320044630347117,0.016243724024024023
1,175,2.6796098837100595,0.01600528678678679
1,150,2.695666363130187,0.01732029039039039
1,25,2.6774636271096073,0.0191829975975976
1,25,2.6756814249529546,0.015747132732732733
1,175,2.6847291436281857,0.013694157057057057
1,75,2.7657923385736565,0.016093236036036036
1,200,2.69452358339606,0.01604794174174174
1,25,2.6896356575184086,0.022556203003003
1,150,2.7287080605397116,0.016195409909909912
1,150,2.718144287562768,0.015093261561561561
1,150,2.671776740333533,0.026617087987987984
1,75,2.705620588418376,0.018959164264264264
1,50,2.6961266308899696,0.01663150750750751
1,150,2.6934131581369254,0.013020227927927926
1,100,2.6887071740920763,0.014573234234234234
1,150,2.65380034910664,0.013040414414414416
1,100,2.682194118765751,0.01602279009009009
1,175,2.716352694483517,0.015722260360360365
1,50,2.6666490763584916,0.021724877177177176
1,125,2.7274476782054786,0.02015801771771772
1,50,2.724776942934008,0.01603767897897898
1,50,2.6963146200403147,0.016554752852852853
1,200,2.702670996554537,0.01719682942942943
1,25,2.6593387935708157,0.017090989789789793
1,150,2.7085593157913856,0.015979636036036034
1,200,2.679384444224454,0.01626784804804805
1,100,2.6870465537602763,0.015125483783783785
1,150,2.6895382451054344,0.014569069069069069
1,200,2.735462476060767,0.016323594594594596
1,25,2.6592177579471192,0.019734993993993994
1,50,2.713244201975172,0.021062700900900903
1,100,2.7170911036356227,0.016048856756756758
