refresh_period,number_sensors,m,b
5,125,2.3307429658492014,0.021525708708708707
5,125,2.3670251101248367,0.013965112612612613
5,50,2.3667470603475014,0.015869306306306306
5,75,2.380344158402691,0.015976552252252255
5,50,2.35308020938075,0.018957507207207208
5,100,2.3697141063942193,0.019100204804804805
5,50,2.3552847804201225,0.015890864864864865
5,50,2.3623104399673682,0.015913965765765765
5,150,2.356227277149088,0.02052556786786787
5,150,2.361429906056838,0.02177792882882883
5,25,2.3532595234047875,0.024074047747747747
5,125,2.3478329078350813,0.017840696396396398
5,125,2.3503872966048807,0.019042792792792793
5,75,2.3464721520950733,0.016876936936936936
5,50,2.3750512069988856,0.0222641015015015
5,125,2.3930340336501406,0.02114586876876877
5,75,2.379956531352229,0.015884279579579576
5,50,2.3690767964782733,0.016747664864864863
5,50,2.3486588678796645,0.017589297597597597
5,125,2.332418998819444,0.017209002702702703
5,75,2.3502416825904557,0.01598163723723724
5,75,2.3785803883988876,0.022429454654654655
5,150,2.354065566309223,0.016486175075075073
5,125,2.340337089611986,0.01590937027027027
5,75,2.3900278025105344,0.023163645945945947
5,125,2.3663537744887106,0.021835435435435438
5,75,2.3287032100442633,0.015928290090090093
5,100,2.361880482188854,0.021891249849849848
5,100,2.3878891140755334,0.016133879879879878
5,25,2.3806921102232836,0.022765071471471474
5,125,2.367919915254986,0.02008405045045045
5,50,2.3292323165756166,0.017229705405405405
5,100,2.350736052671212,0.017425272672672673
5,100,2.3937228222000067,0.01603716726726727
5,100,2.3157938922398347,0.015554493393393393
5,100,2.3739017520188272,0.017105355255255254
5,75,2.363010765922184,0.022124733633633632
5,100,2.3325469585065304,0.012969245045045045
5,100,2.3499210412422333,0.021600104804804808
5,100,2.342678233129862,0.016038633633633635
5,25,2.352197257854386,0.02238790720720721
5,50,2.3476141940862814,0.01590103213213213
5,75,2.364102837976742,0.016743076576576577
5,150,2.368968982779977,0.014394655855855858
5,125,2.3498869876974475,0.01846421111111111
5,125,2.3568926779422004,0.01683137267267267
5,125,2.348045345531504,0.016058238738738743
5,25,2.3759031268395034,0.016463059459459462
5,100,2.391409901501304,0.01595805765765766
5,25,2.3338030382610953,0.023695201501501503
5,75,2.387265719996116,0.01592478048048048
5,75,2.3732113331266085,0.016005338138138137
5,100,2.3623826344858965,0.027413896996996992
5,25,2.366922018010422,0.01773366666666667
5,75,2.375844845057294,0.015879008708708713
5,150,2.3531118843698566,0.01725909129129129
5,150,2.32852402104933,0.015958624324324322
5,25,2.4060242778270586,0.012988567867867867
5,25,2.3955282641986777,0.016035621921921924
5,150,2.37299343865885,0.014802058558558559
5,150,2.3614599699895313,0.016275371771771775
5,75,2.3615091002587714,0.014863834534534538
5,50,2.3434196340126148,0.01534005255255255
5,100,2.3608515658886615,0.018326349249249252
5,150,2.352155929196462,0.019052914714714715
5,125,2.3576958527240803,0.015723022222222223
5,50,2.3221863572042882,0.01594988888888889
5,25,2.3554957898965347,0.016513092792792793
5,150,2.385412323377871,0.01814386636636637
5,100,2.3579799829282706,0.01584745915915916
5,150,2.3249881914165353,0.016147315015015016
5,25,2.360675256955465,0.029729983183183185
5,50,2.32632237004991,0.01633021951951952
5,100,2.3340639866290473,0.021803990390390392
5,25,2.359371101877057,0.015917045645645646
5,150,2.3248168271048217,0.015917045045045045
5,25,2.3283073752157417,0.015956024624624626
5,50,2.3515283796553037,0.018670284684684686
5,75,2.375893737560304,0.01967676006006006
5,50,2.3562806749756953,0.01587458858858859
5,125,2.34241635872394,0.014334458558558558
5,125,2.342783845604575,0.019831207807807807
5,50,2.375638092322321,0.01770956066066066
5,125,2.3403450373970633,0.02410927807807808
5,150,2.3667597772191176,0.01592118678678679
5,25,2.3683840808307046,0.02248760600600601
5,125,2.362178367488241,0.016003283183183184
5,100,2.407404460876341,0.016462548948948948
5,100,2.3572857968095318,0.02272084684684685
5,25,2.3414698439841275,0.012889322222222223
5,150,2.3610868785391665,0.01592106786786787
5,25,2.3929453382462795,0.028436325225225226
5,125,2.3353029992923067,0.021525573873873875
5,50,2.3208627710381355,0.014917825525525527
5,25,2.336920881557033,0.015918585285285287
5,150,2.361687850795837,0.016932977177177178
5,75,2.3435304027878567,0.017615204804804805
5,100,2.3803170701680063,0.016008918918918917
5,150,2.3661355956670116,0.013106493993993995
5,50,2.37480372007458,0.01593605855855856
5,50,2.367266986941597,0.014950288588588587
5,100,2.3484167846570614,0.015987882282282283
5,50,2.3568386392282443,0.016071714114114115
5,100,2.3650185492588682,0.01644518048048048
5,25,2.3989268431794635,0.025579863363363365
5,50,2.357764816664154,0.02261896006006006
5,75,2.3789149619692025,0.015902572372372373
5,25,2.351551897155461,0.023498132732732734
5,25,2.3863889829621776,0.015967863663663664
5,75,2.37364916217303,0.017070914414414416
5,125,2.333515705379096,0.027117196396396398
5,100,2.383923427779388,0.017559718318318318
5,25,2.3640916921967667,0.015885901201201202
5,75,2.3552027633752477,0.016347225825825828
5,75,2.367922046226621,0.014602713513513513
5,125,2.3562454740985252,0.017101739039039037
5,150,2.3699053333630675,0.013042045645645645
5,25,2.3368316971022662,0.026044765765765768
5,25,2.4048362677901345,0.015206366966966969
5,50,2.3347937987538767,0.022063676876876877
5,50,2.359889451289066,0.015949383783783785
5,25,2.3358550733654475,0.02518870840840841
5,100,2.364937674448182,0.02138305825825826
5,150,2.3497079065116773,0.01883618888888889
5,25,2.3651588700298958,0.015212627327327326
5,125,2.353031815206959,0.017938896696696696
5,150,2.3394472428382427,0.01615788708708709
5,100,2.356251295665255,0.01836716906906907
5,75,2.3606689850971607,0.015930904504504503
5,125,2.3752911023893644,0.01877493033033033
5,75,2.3930978161766934,0.017807140540540542
5,75,2.3462411752946966,0.015985303003003003
5,125,2.3644820060018836,0.013157348348348348
5,100,2.3864933152485457,0.021510366066066065
5,50,2.3292327996204554,0.015943223723723723
5,100,2.376320047224352,0.02381788798798799
5,25,2.3444108582239513,0.015925690990990993
5,125,2.3290564644653644,0.013862836336336337
5,75,2.338610179897026,0.021625961861861862
5,150,2.353380769890566,0.01296446966966967
