refresh_period,number_sensors,m,b
10,125,2.3546057345511886,0.013558275675675677
10,175,2.369790765880908,0.024510474774774776
10,175,2.3531711536832907,0.01625126966966967
10,125,2.3570349338333694,0.0129498003003003
10,50,2.3290392212631748,0.013038173273273277
10,75,2.3489569887510675,0.015331766666666666
10,50,2.351168528970197,0.018118803303303305
10,100,2.3440761434576958,0.016733565465465464
10,50,2.3410378419467426,0.017287886486486485
10,175,2.357220556334731,0.015092995495495497
10,50,2.3513410114813618,0.025006278978978978
10,150,2.354936207988753,0.01749031801801802
10,150,2.3611048812390916,0.01661102702702703
10,25,2.3377163862453907,0.018949033933933938
10,125,2.3425294127461473,0.017639545045045047
10,125,2.3354509393517264,0.015405475675675677
10,175,2.3612619689578747,0.016834116516516517
10,75,2.353170074106049,0.017623399699699702
10,50,2.3308674594251997,0.012973895495495496
10,125,2.3297000741754657,0.018863484084084083
10,200,2.3413572617599345,0.014361913213213213
10,75,2.370835178919074,0.015546793693693694
10,50,2.322077346455344,0.015954004804804807
10,175,2.3692610793854563,0.019172741441441443
10,50,2.331802476470497,0.013051406006006004
10,125,2.3329617921509738,0.02229178618618619
10,75,2.342941109926949,0.019376283783783785
10,75,2.3474533223752276,0.014994583483483485
10,175,2.373074307865471,0.0184177948948949
10,150,2.3402579858630723,0.0278691918918919
10,150,2.3547729984158408,0.013787715015015016
10,125,2.3395884141920686,0.026250962762762762
10,75,2.343382133361031,0.011571935435435436
10,125,2.35027955399452,0.021042882882882884
10,175,2.3531438378926297,0.022158471471471472
10,200,2.3105535644140995,0.017499434534534536
10,75,2.3627449810420362,0.016763823723723724
10,100,2.358077814410597,0.026942155255255257
10,100,2.360333969100326,0.016186807207207207
10,25,2.324821370890579,0.021741283483483486
10,125,2.346170882639524,0.019734261261261262
10,50,2.3271155141266755,0.016487783483483485
10,100,2.3429837684123545,0.015905655255255256
10,100,2.3517651958946937,0.016619959459459457
10,200,2.3558852351507227,0.01937735915915916
10,175,2.345441700097547,0.01754385015015015
10,200,2.34985948782178,0.017169393993993993
10,100,2.335506729225033,0.01702086996996997
10,100,2.34217693337085,0.016211872072072076
10,175,2.366958689917169,0.017567515615615616
10,75,2.346352376217611,0.02021697717717718
10,100,2.3375387003129595,0.01154704894894895
10,100,2.3689201429989724,0.014626219219219218
10,100,2.356819843684135,0.014760428528528529
10,25,2.3397595786094207,0.01984974054054054
10,50,2.3496403875482814,0.015591290390390393
10,175,2.3452864838033074,0.018764206306306305
10,75,2.325631747364929,0.021438892792792794
10,200,2.3496618024472053,0.017483054654654655
10,150,2.3446338448013515,0.01589913633633634
10,125,2.3253704431480955,0.012901164864864865
10,125,2.3489779381391793,0.014819063963963966
10,125,2.3369310323666044,0.019013895495495495
10,25,2.3489443842831785,0.017361855255255253
10,100,2.3350358790487586,0.01879870630630631
10,200,2.3258126893574627,0.016602266366366365
10,25,2.332026581357391,0.02164702012012012
10,75,2.363097460042299,0.015992503603603606
10,200,2.3491311812232682,0.015594334534534534
10,75,2.3608904592599487,0.017856090390390388
10,100,2.3469922832004295,0.015915505405405407
10,200,2.3126210396082905,0.015270204204204206
10,25,2.3425872188583696,0.019924205705705706
10,75,2.348208288676666,0.01628171861861862
10,150,2.365883294862146,0.014005675375375374
10,175,2.37635876915109,0.021675053153153153
10,150,2.3542986499127503,0.017549115615615615
10,25,2.33416995372854,0.018369817417417417
10,25,2.309188144896037,0.01822033873873874
10,150,2.3782909558073655,0.01663587267267267
10,150,2.3507433858963083,0.01919736006006006
10,75,2.3310714903211793,0.015961056456456457
10,50,2.344515408574122,0.014757247447447448
10,100,2.3439773979166927,0.018883934834834835
10,150,2.339700993599763,0.020523128228228226
10,175,2.3810630402388675,0.01689794024024024
10,125,2.345018465133875,0.013037678078078077
10,50,2.324149834009093,0.015800684384384388
10,200,2.3616110368838577,0.0219282990990991
10,25,2.3308301009658505,0.019730484984984982
10,150,2.344186405129637,0.017859085885885886
10,200,2.3744206725410697,0.017527108408408407
10,100,2.3468046673274663,0.017993206606606606
10,150,2.355003406319695,0.01649236126126126
10,200,2.327882334314862,0.019186106306306308
10,25,2.3403745667512714,0.019228923123123125
10,50,2.3386237732246964,0.013008
10,100,2.3370524828101957,0.015949383783783785
10,25,2.327940902452853,0.01999151891891892
10,175,2.366241524700825,0.01980962312312312
10,150,2.348717999992381,0.013380131231231232
10,25,2.331453121924956,0.019136272972972972
10,50,2.32703576957743,0.018688364264264266
10,175,2.359513839621534,0.019868117117117116
10,75,2.3388633362632474,0.01615157897897898
10,50,2.326098962082333,0.01633741351351351
10,125,2.333944244390171,0.015368002102102101
10,125,2.343307314507088,0.015554134834834837
10,50,2.3577681931425967,0.019200491591591592
10,175,2.351976230386044,0.0149280012012012
10,200,2.346756981193539,0.016960990390390392
10,125,2.342028302316898,0.016017141741741743
10,150,2.3510898081283855,0.01806964024024024
10,25,2.339775416175984,0.01782916996996997
10,175,2.32832413739314,0.022162912012012013
10,150,2.3501960295524054,0.01640968258258258
10,125,2.336034861638214,0.015635180480480484
10,100,2.349262849001128,0.015030386486486488
10,100,2.3634542854404526,0.019393730030030032
10,25,2.27358334178902,0.017989307507507508
10,150,2.3551886141138683,0.013409545645645646
10,25,2.3310731690659208,0.016595420720720722
10,125,2.355932841393574,0.026540657957957958
10,50,2.351497471733368,0.020359481981981984
10,25,2.334604311363137,0.024285566066066067
10,200,2.3645396354431503,0.01736435825825826
10,150,2.3530004977062156,0.015617049549549549
10,150,2.378683943669212,0.01631618468468469
10,75,2.3855787610125128,0.015153420120120123
10,175,2.3864343388302562,0.016422152852852853
10,100,2.3496753405478827,0.012924520120120122
10,150,2.36386629705162,0.01723714114114114
10,200,2.359234348845113,0.01726974744744745
10,200,2.356152151556476,0.018889923423423424
10,50,2.3292741915013484,0.019971005705705706
10,50,2.3641316225559565,0.018837911111111112
10,100,2.350131184104743,0.013012650450450448
10,175,2.3694779213736785,0.015847345345345345
10,200,2.3704605336276483,0.01618233783783784
10,175,2.368188956427285,0.023005783783783783
10,50,2.3729403448738187,0.014112494594594594
10,100,2.35644029956159,0.016018975675675673
10,25,2.3499405342239115,0.017296390390390392
