refresh_period,number_sensors,m,b
20,125,2.2416444553254,0.015025858558558558
20,175,2.283155087505447,0.015955034834834837
20,175,2.2735483716207097,0.014336956456456457
20,125,2.2176904980248775,0.012959943543543543
20,50,2.2811904030312795,0.018509248048048047
20,75,2.2898748842367422,0.023424480780780778
20,100,2.2478360143148333,0.012994876876876877
20,50,2.2598172776110133,0.0239588963963964
20,125,2.2211281281020385,0.012941197297297298
20,175,2.290515038945732,0.012859177777777776
20,50,2.266042185868364,0.015920124924924926
20,150,2.199417179319669,0.012857812612612613
20,50,2.304234381332292,0.015913008408408407
20,150,2.2167201558510032,0.012863828828828828
20,25,2.322789896610617,0.01884252222222222
20,125,2.2416990394793648,0.015969403303303303
20,175,2.289254896272733,0.015506108108108109
20,75,2.2272575183154686,0.01956325885885886
20,75,2.207879997424875,0.021862536636636638
20,50,2.2876000690155394,0.01593608858858859
20,200,2.2724779444121963,0.012979893093093093
20,75,2.2966987254167526,0.013040554954954953
20,50,2.3177933926727725,0.02164857837837838
20,75,2.2301320294980944,0.015577794294294296
20,175,2.2984595320618184,0.015318151051051051
20,50,2.2739302500923415,0.016147108108108106
20,125,2.2386949942091303,0.018185442042042043
20,75,2.221133087928038,0.015903776876876875
20,75,2.2818162068858063,0.0159207012012012
20,175,2.2312414776031586,0.01288088138138138
20,150,2.227150112641439,0.012862278078078078
20,125,2.232336610688524,0.014497806306306307
20,200,2.2752336648808544,0.013001875375375374
20,75,2.206840894055863,0.01588685075075075
20,175,2.2644888711117632,0.015872386186186187
20,200,2.2946104761040926,0.013676002702702703
20,75,2.2442318769333776,0.015922240840840842
20,100,2.22507893409377,0.015968895195195197
20,100,2.2505915238012797,0.014516475975975976
20,25,2.2552712217910704,0.014939398198198199
20,125,2.254272235268733,0.012924287087087089
20,50,2.257854198521719,0.015933010810810812
20,100,2.2359164965385627,0.012910335135135136
20,100,2.255642415572067,0.01615605705705706
20,200,2.272943729286499,0.0173570003003003
20,175,2.3265690051345276,0.01669927207207207
20,200,2.2788084686179255,0.017469590090090092
20,100,2.243651570065496,0.022473714714714713
20,100,2.2453936061674393,0.01920384774774775
20,175,2.2441737415317524,0.015729891891891893
